name,birthday,title,character_name,character_year,characterage,character_gender,love_interest,release_date,actor_age
Ben Platt,24-09-1993,The Politician,Payton Hobart,hs senior,,M,"Alice Charles, Astrid Sloan, River Barkley",27-09-2019,26
Zoey Deutch,10-11-1994,The Politician,Infinity Jackson,hs senior,,F,,27-09-2019,24
Lucy Boynton,17-01-1994,The Politician,Astrid Sloan,hs senior,,F,"Payton Hobart, River Barkley",27-09-2019,25
Julia Schlaepfer,03-03-1995,The Politician,Alice Charles,hs senior,,F,"Payton Hobart, James Sullivan",27-09-2019,24
Laura Dreyfuss,22-08-1988,The Politician,McAfee Westbrook,hs senior,,F,Skye Leighton,27-09-2019,31
Theo Germaine,,The Politician,James Sullivan,hs senior,,M,Alice Charles,27-09-2019,
Rahne Jones,04-05-1987,The Politician,Skye Leighton,hs senior,,NB,McAfee Westbrook,27-09-2019,32
David Corenswet,08-07-1993,The Politician,River Barkley,hs senior,,M,"Astrid Sloan, Payton Hobart",27-09-2019,26
Ryan J. Haddad,03-01-1992,The Politician,Andrew Cashman,hs senior,,M,,27-09-2019,27
Alexis Bledel,16-09-1981,Gilmore Girls,Rory Gilmore,hs sophomore,,F,Dean Forester,05-10-2000,19
Keiko Agena,03-10-1973,Gilmore Girls,Lane Kim,hs sophomore,,F,,05-10-2000,27
Liza Weil,05-06-1977,Gilmore Girls,Paris Geller,hs sophomore,,F,,05-10-2000,23
Jared Padalecki,19-07-1982,Gilmore Girls,Dean Forester,hs sophomore,,M,Rory Gilmore,05-10-2000,18
Teal Redmann,30-09-1982,Gilmore Girls,Louise Grant,hs sophomore,,F,,05-10-2000,18
Shelly Cole,22-08-1975,Gilmore Girls,Madeline Lynn,hs sophomore,,F,,05-10-2000,25
Chad Michael Murray,24-08-1981,Gilmore Girls,Tristin Dugray,hs sophomore,,M,,05-10-2000,19
Asa Butterfield,01-04-1997,Sex Education,Otis Milburn,,16,M,"Maeve Wiley, Lily Iglehart, Ola Nyman",11-01-2019,21
Ncuti Gatwa,15-10-1992,Sex Education,Eric Effiong,,16,M,Adam Groff,11-01-2019,26
Emma Mackey,04-01-1996,Sex Education,Maeve Wiley,,16,F,"Otis Milburn, Jackson Marchetti",11-01-2019,23
Connor Swindells,19-09-1996,Sex Education,Adam Groff,,16,M,"Eric Effiong, Aimee Gibbs",11-01-2019,22
Kedar Williams-Stirling,14-12-1994,Sex Education,Jackson Marchetti,,16,M,Maeve Wiley,11-01-2019,24
Aimee Lou Wood,03-02-1995,Sex Education,Aimee Gibbs,,16,F,Adam Groff,11-01-2019,23
Tanya Reynolds,04-11-1991,Sex Education,Lily Iglehart,,16,F,Otis Milburn,11-01-2019,27
Patricia Allison,07-12-1994,Sex Education,Ola Nyman,,16,F,Otis Milburn,11-01-2019,24
Mimi Keene,05-08-1998,Sex Education,Ruby Matthews,,16,F,,11-01-2019,20
Simone Ashley,30-03-1995,Sex Education,Olivia Hanan,,16,F,,11-01-2019,23
Chaneil Kular,20-08-1999,Sex Education,Anwar,,16,M,,11-01-2019,19
Kiernan Shipka,10-11-1999,Chilling Adventures of Sabrina,Sabrina Spellman,,17,F,"Harvey Kinkle, Nicholas Scratch",26-10-2018,18
Ross Lynch,29-12-1995,Chilling Adventures of Sabrina,Harvey Kinkle,hs junior,,M,Sabrina Spelllman,26-10-2018,22
Jaz Sinclair,22-07-1994,Chilling Adventures of Sabrina,Rosalind Walker,hs junior,,F,,26-10-2018,24
Tati Gabrielle,24-01-1996,Chilling Adventures of Sabrina,Prudence Night,hs junior,,F,,26-10-2018,22
Adeline Rudolph,10-02-1995,Chilling Adventures of Sabrina,Agatha,hs junior,,F,,26-10-2018,23
Lachlan Watson,12-04-2001,Chilling Adventures of Sabrina,Theo Putnam,hs junior,,TM,,26-10-2018,17
Gavin Leatherwood,07-06-1994,Chilling Adventures of Sabrina,Nicholas Scratch,hs junior,,M,Sabrina Spellman,26-10-2018,24
Abigail Cowen,18-03-1998,Chilling Adventures of Sabrina,Dorcas,hs junior,,F,,26-10-2018,20
Jahi Di'Allo Winston,30-11-2003,Everything Sucks!,Luke O'Neil,hs freshman,,M,Kate Messner,16-02-2018,14
Peyton Kennedy,04-01-2004,Everything Sucks!,Kate Messner,hs sophomore,,F,Emaline Addario,16-02-2018,14
Quinn Liebling,20-03-2003,Everything Sucks!,Tyler,hs freshman,,M,,16-02-2018,14
Elijah Stevenson,12-09-1998,Everything Sucks!,Oliver,hs senior,,M,Emaline Addario,16-02-2018,19
Rio Mangini,06-10-2002,Everything Sucks!,McQuaid,hs freshman,,M,,16-02-2018,15
Sydney Sweeney,12-09-1997,Everything Sucks!,Emaline Addario,hs junior,,F,"Oliver, Kate Messner",16-02-2018,20
Abi Brittle,26-05-2000,Everything Sucks!,Leslie,hs sophomore,,F,,16-02-2018,17
Chris Colfer,27-05-1990,Glee,Kurt Hummel,hs sophomore,,M,,19-05-2009,18
Lea Michele,29-08-1986,Glee,Rachel Berry,hs sophomore,,F,Finn Hudson,19-05-2009,22
Kevin McHale,14-06-1988,Glee,Artie Abrams,hs freshman,,M,,19-05-2009,20
Naya Rivera,12-01-1987,Glee,Santana Lopez,hs sophomore,,F,Noah 'Puck' Puckerman,19-05-2009,22
Jenna Ushkowitz,28-04-1986,Glee,Tina Cohen-Chang,hs freshman,,F,,19-05-2009,23
Amber Riley,15-02-1986,Glee,Mercedes Jones,hs sophomore,,F,,19-05-2009,23
Mark Salling,17-08-1982,Glee,Noah 'Puck' Puckerman,hs sophomore,,M,"Quinn Fabray, Santana Lopez",19-05-2009,26
Heather Morris,01-02-1987,Glee,Brittany S. Pierce,hs sophomore,,F,,19-05-2009,22
Harry Shum Jr.,28-04-1982,Glee,Mike Chang,hs sophomore,,M,,19-05-2009,27
Cory Monteith,11-05-1982,Glee,Finn Hudson,hs sophomore,,M,"Rachel Berry, Quinn Fabray",19-05-2009,27
Dianna Agron,30-04-1986,Glee,Quinn Fabray,hs sophomore,,F,"Finn Hudson, Noah 'Puck' Puckerman",19-05-2009,23
Lauren Potter,10-05-1990,Glee,Becky Jackson,hs sophomore,,F,,19-05-2009,19
Finn Wolfhard,23-12-2002,Stranger Things,Michael 'Mike' Wheeler,7th grade,,M,,15-07-2016,13
Millie Bobby Brown,19-02-2004,Stranger Things,Eleven,7th grade,,F,,15-07-2016,12
Gaten Matarazzo,08-09-2002,Stranger Things,Dustin Henderson,7th grade,,M,,15-07-2016,13
Caleb McLaughlin,13-10-2001,Stranger Things,Lucas Sinclair,7th grade,,M,,15-07-2016,14
Natalia Dyer,13-01-1995,Stranger Things,Nancy Wheeler,hs senior,,F,Steve Harrington,15-07-2016,21
Charlie Heaton,06-02-1994,Stranger Things,Jonathon Byers,hs senior,,M,,15-07-2016,22
Joe Keery,24-04-1992,Stranger Things,Steve Harrington,hs senior,,M,Nancy Wheeler,15-07-2016,24
Noah Schnapp,03-10-2004,Stranger Things,Will Byers,7th grade,,M,,15-07-2016,11
Sophia Lillis,13-02-2002,I Am Not Okay With This,Sydney Novak,hs junior,,F,,26-02-2020,18
Wyatt Oleff,13-07-2003,I Am Not Okay With This,Stanley Barber,hs junior,,M,,26-02-2020,16
Sofia Bryant,26-12-1999,I Am Not Okay With This,Dina,hs junior,,F,,26-02-2020,20
Richard Ellis,12-03-1994,I Am Not Okay With This,Brad Lewis,hs junior,,M,,26-02-2020,25
Zachary S. Williams,05-11-1999,I Am Not Okay With This,Rick Berry,hs junior,,M,,26-02-2020,20
Keir Gilchrist,28-09-1992,Atypical,Sam Gardner,hs senior,,M,,11-08-2017,24
Brigette Lundy-Paine,10-08-1994,Atypical,Casey Gardner,hs sophomore,,F,Evan Chapin,11-08-2017,23
Graham Rogers,16-12-1990,Atypical,Evan Chapin,,16,M,Casey Gardner,11-08-2017,26
Jenna Boyd,04-03-1993,Atypical,Paige,hs senior,,F,,11-08-2017,24
Colin Ford,12-09-1996,Daybreak,Josh Wheeler,hs junior,,M,"Samaira 'Sam' Dean, KJ",24-10-2019,23
Alyvia Alyn Lind,27-07-2007,Daybreak,Angelica Green,6th grade,,F,,24-10-2019,12
Sophie Simnett,05-12-1997,Daybreak,Samaira 'Sam' Dean,hs junior,,F,Josh Wheeler,24-10-2019,21
Austin Crute,24-10-1995,Daybreak,Wesley Fists,hs junior,,M,,24-10-2019,24
Cody Kearsley,10-03-1991,Daybreak,Turbo Pokaski,hs senior,,M,,24-10-2019,28
Jeanté Godlock,24-04-1988,Daybreak,Mona Lisa,hs junior,,F,,24-10-2019,31
Gregory Kasyan,12-04-2001,Daybreak,Eli Cardashyan,hs senior,,M,,24-10-2019,18
Charlie Plummer,24-05-1999,Looking for Alaska,Miles 'Pudge' Halter,hs junior,,M,"Alaska Young, Lara Buterskaya",18-10-2019,20
Kristine Froseth,21-09-1995,Looking for Alaska,Alaska Young,hs junior,,F,"Miles 'Pudge' Halter, Jake",18-10-2019,24
Denny Love,,Looking for Alaska,Chip 'The Colonel' Martin,hs junior,,M,Sara Bankhead Harbert,18-10-2019,
Jay Lee,,Looking for Alaska,Takumi Hikohito,hs junior,,M,,18-10-2019,
Sofia Vassilieva,22-10-1992,Looking for Alaska,Lara Buterskaya,hs junior,,F,Miles 'Pudge' Halter,18-10-2019,26
Landry Bender,03-08-2000,Looking for Alaska,Sara Bankhead Harbert,hs junior,,F,Chip 'The Colonel' Martin,18-10-2019,19
Shailene Woodley,15-11-1991,Secret Life of the American Teenager,Amy Juergens,hs freshman,,F,"Ben Boykewich, Ricky Underwood",01-07-2008,16
Ken Baumann,08-08-1989,Secret Life of the American Teenager,Ben Boykewich,hs freshman,,M,"Amy Juergens, Adrian Lee",01-07-2008,18
Daren Kagasoff,16-09-1987,Secret Life of the American Teenager,Ricky Underwood,hs sophomore,,M,Amy Juergens,01-07-2008,20
Francia Raisa,26-07-1988,Secret Life of the American Teenager,Adrian Lee,hs sophomore,,F,"Ben Boykewich, Ricky Underwood, Jack Pappas",01-07-2008,19
Megan Park,24-07-1986,Secret Life of the American Teenager,Grace Bowman,hs senior,,F,Jack Pappas,01-07-2008,21
Greg Finley,22-12-1984,Secret Life of the American Teenager,Jack Pappas,college freshman,,M,"Grace Bowman, Adrian Lee",01-07-2008,23
Camille Winbush,09-02-1990,Secret Life of the American Teenager,Lauren Treacy,hs freshman,,F,,01-07-2008,18
Renee Olstead,18-06-1989,Secret Life of the American Teenager,Madison Cooperstein,hs freshman,,F,,01-07-2008,19
Marlo Kelly,,Dare Me,Beth Cassidy,,,F,Addy Hanlon,29-12-2019,
Herizen Guardiola,24-07-1996,Dare Me,Addy Hanlon,,,F,Beth Cassidy,29-12-2019,23
Alison Thornton,14-08-1999,Dare Me,Tacy Cassidy,hs freshman,,F,,29-12-2019,20
